key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_2_64_1_#ow_first,True,2,64,1,#ow,first,1.4057822624842327,0.5549485087394714,0.46814257820387367,0.017870013483313074,22.375957500383457
bi_2_64_1_#ow_last,True,2,64,1,#ow,last,1.3597053289413452,0.5744904279708862,0.49115747722838066,-0.00796107155375858,22.99031188679674
bi_2_64_1_#ow_terminal,True,2,64,1,#ow,terminal,2.282515366872152,0.48255935311317444,0.37465130951353826,-0.1652587154264875,31.87483958920553
bi_2_64_1_bow_all,True,2,64,1,bow,all,3.1261231104532876,0.445333331823349,0.2947135157401022,-0.37605510918746177,35.02004474642677
bi_2_64_1_bow_first,True,2,64,1,bow,first,1.4445336659749348,0.546963632106781,0.46576829263862884,-0.031791041471548764,24.025843888282566
bi_2_64_1_bow_last,True,2,64,1,bow,last,1.4701919158299763,0.555578887462616,0.46866951339513174,-0.05676658409495893,34.845809560480966
bi_2_64_1_bow_terminal,True,2,64,1,bow,terminal,2.3345667521158853,0.48592138290405273,0.3589369958292545,-0.16679926303772707,36.894925253545644
bi_2_64_1_eow_all,True,2,64,1,eow,all,3.0793676376342773,0.4382222294807434,0.28707958249446375,-0.39127984476323663,35.58702741018201
bi_2_64_1_eow_first,True,2,64,1,eow,first,1.3930479288101196,0.5583105683326721,0.4783414556230936,-0.03555470575542308,31.523601220825913
bi_2_64_1_eow_last,True,2,64,1,eow,last,1.4845376014709473,0.5448623299598694,0.4622794314534222,-0.06398988286711726,24.375294627225376
bi_2_64_1_eow_terminal,True,2,64,1,eow,terminal,2.3285370667775473,0.4897037148475647,0.3982199663528057,-0.20862518235969607,35.281547000999325
bi_2_64_1__all,True,2,64,1,,all,3.026453892389933,0.4323691725730896,0.22062872531995162,-0.4147126266851211,32.270235983519534
bi_2_64_1__first,True,2,64,1,,first,1.5379658142725627,0.5364572405815125,0.4234999591083853,-0.0922648149413352,41.291676738351185
bi_2_64_1__last,True,2,64,1,,last,1.7858084837595622,0.4961126148700714,0.3724753629119469,-0.1659695457871324,52.19784940525077
bi_2_64_1__terminal,True,2,64,1,,terminal,2.5349769592285156,0.4126182198524475,0.2920645640814627,-0.4422787315115442,40.81486098806553
mono_1_128_1_#ow_all,False,1,128,1,#ow,all,3.5789388020833335,0.4442637860774994,0.2706533081885846,-0.31652423301670796,31.58132176894408
mono_1_128_1_#ow_first,False,1,128,1,#ow,first,2.5533615748087564,0.2132800966501236,0.1202689869783426,-0.7633592218668508,9.539463966633356
mono_1_128_1_#ow_last,False,1,128,1,#ow,last,1.4210020701090496,0.5952931046485901,0.5230019461077373,-0.018354309408173952,18.870114761743984
mono_1_128_1_#ow_terminal,False,1,128,1,#ow,terminal,2.8695690631866455,0.33830636739730835,0.25805973133645527,-0.6395196024123162,22.231877535992655
mono_1_128_1_bow_all,False,1,128,1,bow,all,3.4311979611714682,0.4255000054836273,0.22408580180166382,-0.3913791657531398,28.729939870167435
mono_1_128_1_bow_first,False,1,128,1,bow,first,2.592583497365316,0.21559150516986847,0.12322553207422803,-0.7976934994329681,10.356673821428668
mono_1_128_1_bow_last,False,1,128,1,bow,last,1.7935868501663208,0.5938222408294678,0.45865695535485934,0.014787816634488691,32.535436345105325
mono_1_128_1_bow_terminal,False,1,128,1,bow,terminal,3.2096831798553467,0.3445051312446594,0.22575462573779356,-0.5962214159120445,38.74358336013393
mono_1_128_1_eow_all,False,1,128,1,eow,all,3.130936861038208,0.5173888802528381,0.31745228149201504,-0.1851546213789368,31.56357668848834
mono_1_128_1_eow_first,False,1,128,1,eow,first,1.6235825618108113,0.56545490026474,0.46125512087633636,0.00021829475821155686,24.246689021684183
mono_1_128_1_eow_last,False,1,128,1,eow,last,1.41857906182607,0.5934019684791565,0.4972354003890681,-0.010096346639935527,20.241664162500516
mono_1_128_1_eow_terminal,False,1,128,1,eow,terminal,2.378601868947347,0.5299432277679443,0.4125284906580626,-0.09240970953897731,33.07758789368167
